challenger,vs,retention_axis,challenger_recovery,ref_recovery,challenger_retention,ref_retention,dominates_by_mean,challenger_recovery_r0.9,ref_recovery_r0.9,P_dominates_bootstrap,dominates_at_both_ratios
d1_E16_g2,sharecap_c0.03,synthetic r0.05,0.9563865695505418,1.0028690708829278,0.02924281984334205,0.9932114882506528,False,,1.001409406753753,0.0,False
d1_E16_g2,sharecap_c0.03,synthetic r0.2,0.9563865695505418,1.0028690708829278,0.12236503856041131,0.9789203084832905,False,,1.001409406753753,0.0,False
d1_E16_g2,sharecap_c0.03,cicids r0.2,0.9563865695505418,1.0028690708829278,0.6501782531194298,0.7366310160427807,False,,1.001409406753753,0.0,False
d1_E16_g2,sharecap_c0.05,synthetic r0.05,0.9563865695505418,0.999475928228815,0.02924281984334205,0.9984334203655354,False,,1.0004456212530248,0.0,False
d1_E16_g2,sharecap_c0.05,synthetic r0.2,0.9563865695505418,0.999475928228815,0.12236503856041131,0.9861182519280206,False,,1.0004456212530248,0.0,False
d1_E16_g2,sharecap_c0.05,cicids r0.2,0.9563865695505418,0.999475928228815,0.6501782531194298,0.8072638146167559,False,,1.0004456212530248,0.0,False
d1_E16_g2,sharecap_c0.08,synthetic r0.05,0.9563865695505418,0.9924054006040149,0.02924281984334205,1.0,False,,0.9954764261175507,0.0,False
d1_E16_g2,sharecap_c0.08,synthetic r0.2,0.9563865695505418,0.9924054006040149,0.12236503856041131,0.9943444730077119,False,,0.9954764261175507,0.0,False
d1_E16_g2,sharecap_c0.08,cicids r0.2,0.9563865695505418,0.9924054006040149,0.6501782531194298,0.8335561497326204,False,,0.9954764261175507,0.0,False
d1_E16_g3,knn,synthetic r0.05,0.9650737253508616,0.9894563865695506,0.01984334203655353,0.4234986945169713,False,,0.9909010358103312,0.0,False
d1_E16_g3,knn,synthetic r0.2,0.9650737253508616,0.9894563865695506,0.03239074550128534,0.7840616966580977,False,,0.9909010358103312,0.0,False
d1_E16_g3,knn,cicids r0.2,0.9650737253508616,0.9894563865695506,0.6472816399286989,0.6584224598930482,False,,0.9909010358103312,0.002,False
d1_E16_g3,uniform_w0.1,synthetic r0.05,0.9650737253508616,0.988807958784864,0.01984334203655353,0.9122715404699739,False,,0.4332941255719238,0.0,False
d1_E16_g3,uniform_w0.1,synthetic r0.2,0.9650737253508616,0.988807958784864,0.03239074550128534,0.9763496143958869,False,,0.4332941255719238,0.0,False
d1_E16_g3,uniform_w0.1,cicids r0.2,0.9650737253508616,0.988807958784864,0.6472816399286989,0.7410873440285204,False,,0.4332941255719238,0.00025,False
d1_E16_g3,uniform_w0.05,synthetic r0.05,0.9650737253508616,0.9980547166459407,0.01984334203655353,0.7107049608355093,False,,0.5220504795610112,0.0,False
d1_E16_g3,uniform_w0.05,synthetic r0.2,0.9650737253508616,0.9980547166459407,0.03239074550128534,0.9604113110539844,False,,0.5220504795610112,0.0,False
d1_E16_g3,uniform_w0.05,cicids r0.2,0.9650737253508616,0.9980547166459407,0.6472816399286989,0.7054367201426025,False,,0.5220504795610112,0.001,False
d1_E16_g3,sharecap_c0.03,synthetic r0.05,0.9650737253508616,1.0028690708829278,0.01984334203655353,0.9932114882506528,False,,1.001409406753753,0.0,False
d1_E16_g3,sharecap_c0.03,synthetic r0.2,0.9650737253508616,1.0028690708829278,0.03239074550128534,0.9789203084832905,False,,1.001409406753753,0.0,False
d1_E16_g3,sharecap_c0.03,cicids r0.2,0.9650737253508616,1.0028690708829278,0.6472816399286989,0.7366310160427807,False,,1.001409406753753,0.0,False
d1_E16_g3,sharecap_c0.05,synthetic r0.05,0.9650737253508616,0.999475928228815,0.01984334203655353,0.9984334203655354,False,,1.0004456212530248,0.0,False
d1_E16_g3,sharecap_c0.05,synthetic r0.2,0.9650737253508616,0.999475928228815,0.03239074550128534,0.9861182519280206,False,,1.0004456212530248,0.0,False
d1_E16_g3,sharecap_c0.05,cicids r0.2,0.9650737253508616,0.999475928228815,0.6472816399286989,0.8072638146167559,False,,1.0004456212530248,0.0,False
d1_E16_g3,sharecap_c0.08,synthetic r0.05,0.9650737253508616,0.9924054006040149,0.01984334203655353,1.0,False,,0.9954764261175507,0.0,False
d1_E16_g3,sharecap_c0.08,synthetic r0.2,0.9650737253508616,0.9924054006040149,0.03239074550128534,0.9943444730077119,False,,0.9954764261175507,0.0,False
d1_E16_g3,sharecap_c0.08,cicids r0.2,0.9650737253508616,0.9924054006040149,0.6472816399286989,0.8335561497326204,False,,0.9954764261175507,0.0,False
d1_E2_g1,knn,synthetic r0.05,0.3953721797832652,0.9894563865695506,0.9822454308093996,0.4234986945169713,False,,0.9909010358103312,0.01075,False
d1_E2_g1,knn,synthetic r0.2,0.3953721797832652,0.9894563865695506,0.988688946015424,0.7840616966580977,False,,0.9909010358103312,0.01375,False
d1_E2_g1,knn,cicids r0.2,0.3953721797832652,0.9894563865695506,0.7711675579322638,0.6584224598930482,False,,0.9909010358103312,0.008,False
d1_E2_g1,uniform_w0.1,synthetic r0.05,0.3953721797832652,0.988807958784864,0.9822454308093996,0.9122715404699739,False,,0.4332941255719238,0.00575,False
d1_E2_g1,uniform_w0.1,synthetic r0.2,0.3953721797832652,0.988807958784864,0.988688946015424,0.9763496143958869,False,,0.4332941255719238,0.00525,False
d1_E2_g1,uniform_w0.1,cicids r0.2,0.3953721797832652,0.988807958784864,0.7711675579322638,0.7410873440285204,False,,0.4332941255719238,0.00675,False
d1_E2_g1,uniform_w0.05,synthetic r0.05,0.3953721797832652,0.9980547166459407,0.9822454308093996,0.7107049608355093,False,,0.5220504795610112,0.005,False
d1_E2_g1,uniform_w0.05,synthetic r0.2,0.3953721797832652,0.9980547166459407,0.988688946015424,0.9604113110539844,False,,0.5220504795610112,0.00525,False
d1_E2_g1,uniform_w0.05,cicids r0.2,0.3953721797832652,0.9980547166459407,0.7711675579322638,0.7054367201426025,False,,0.5220504795610112,0.00375,False
d1_E2_g1,sharecap_c0.03,synthetic r0.05,0.3953721797832652,1.0028690708829278,0.9822454308093996,0.9932114882506528,False,,1.001409406753753,0.0,False
d1_E2_g1,sharecap_c0.03,synthetic r0.2,0.3953721797832652,1.0028690708829278,0.988688946015424,0.9789203084832905,False,,1.001409406753753,0.00175,False
d1_E2_g1,sharecap_c0.03,cicids r0.2,0.3953721797832652,1.0028690708829278,0.7711675579322638,0.7366310160427807,False,,1.001409406753753,0.00175,False
d1_E2_g1,sharecap_c0.05,synthetic r0.05,0.3953721797832652,0.999475928228815,0.9822454308093996,0.9984334203655354,False,,1.0004456212530248,0.0,False
d1_E2_g1,sharecap_c0.05,synthetic r0.2,0.3953721797832652,0.999475928228815,0.988688946015424,0.9861182519280206,False,,1.0004456212530248,0.00625,False
d1_E2_g1,sharecap_c0.05,cicids r0.2,0.3953721797832652,0.999475928228815,0.7711675579322638,0.8072638146167559,False,,1.0004456212530248,0.00025,False
d1_E2_g1,sharecap_c0.08,synthetic r0.05,0.3953721797832652,0.9924054006040149,0.9822454308093996,1.0,False,,0.9954764261175507,0.0,False
d1_E2_g1,sharecap_c0.08,synthetic r0.2,0.3953721797832652,0.9924054006040149,0.988688946015424,0.9943444730077119,False,,0.9954764261175507,0.0,False
d1_E2_g1,sharecap_c0.08,cicids r0.2,0.3953721797832652,0.9924054006040149,0.7711675579322638,0.8335561497326204,False,,0.9954764261175507,0.0,False
d1_E2_g2,knn,synthetic r0.05,0.8508527269497246,0.9894563865695506,0.9148825065274152,0.4234986945169713,False,,0.9909010358103312,0.01075,False
d1_E2_g2,knn,synthetic r0.2,0.8508527269497246,0.9894563865695506,0.9763496143958869,0.7840616966580977,False,,0.9909010358103312,0.0095,False
d1_E2_g2,knn,cicids r0.2,0.8508527269497246,0.9894563865695506,0.6700089126559715,0.6584224598930482,False,,0.9909010358103312,0.01,False
d1_E2_g2,uniform_w0.1,synthetic r0.05,0.8508527269497246,0.988807958784864,0.9148825065274152,0.9122715404699739,False,,0.4332941255719238,0.00425,False
d1_E2_g2,uniform_w0.1,synthetic r0.2,0.8508527269497246,0.988807958784864,0.9763496143958869,0.9763496143958869,False,,0.4332941255719238,0.01075,False
d1_E2_g2,uniform_w0.1,cicids r0.2,0.8508527269497246,0.988807958784864,0.6700089126559715,0.7410873440285204,False,,0.4332941255719238,0.00025,False
d1_E2_g2,uniform_w0.05,synthetic r0.05,0.8508527269497246,0.9980547166459407,0.9148825065274152,0.7107049608355093,False,,0.5220504795610112,0.0115,False
d1_E2_g2,uniform_w0.05,synthetic r0.2,0.8508527269497246,0.9980547166459407,0.9763496143958869,0.9604113110539844,False,,0.5220504795610112,0.01075,False
d1_E2_g2,uniform_w0.05,cicids r0.2,0.8508527269497246,0.9980547166459407,0.6700089126559715,0.7054367201426025,False,,0.5220504795610112,0.0,False
d1_E2_g2,sharecap_c0.03,synthetic r0.05,0.8508527269497246,1.0028690708829278,0.9148825065274152,0.9932114882506528,False,,1.001409406753753,0.0,False
d1_E2_g2,sharecap_c0.03,synthetic r0.2,0.8508527269497246,1.0028690708829278,0.9763496143958869,0.9789203084832905,False,,1.001409406753753,0.0,False
d1_E2_g2,sharecap_c0.03,cicids r0.2,0.8508527269497246,1.0028690708829278,0.6700089126559715,0.7366310160427807,False,,1.001409406753753,0.00025,False
d1_E2_g2,sharecap_c0.05,synthetic r0.05,0.8508527269497246,0.999475928228815,0.9148825065274152,0.9984334203655354,False,,1.0004456212530248,0.0,False
