defense,family,recovery_r0.5,recovery_r0.5_boot_sd,residual_fpr_rise_r0.5,retention_synthetic r0.05,retention_synthetic r0.05_boot_sd,retention_synthetic r0.2,retention_synthetic r0.2_boot_sd,retention_cicids r0.2,retention_cicids r0.2_boot_sd,s0_mean_weight_synthetic,s0_mean_weight_cicids,recovery_r0.9,recovery_r0.9_boot_sd
d1q_q0.99_g1,D1q,0.9965269141943507,0.0007837217473036555,0.0019550000000000006,0.9613577023498696,0.0018526616164255202,0.9830334190231363,0.000615819340142361,0.644830659536542,0.09917446290410135,0.40541655630774687,0.12723493119106358,0.9375767530791911,0.019153663391396673
d1q_q0.99_g2,D1q,1.0024871202700303,0.0021969968793295845,-0.0013999999999999998,0.6710182767624021,0.02710275257294043,0.9419023136246786,0.0039984467507891775,0.6446078431372549,0.09744866536986482,0.2706717547936629,0.01866304345747676,0.9869111711030162,0.003124821352830515
d1q_q0.9_g1,D1q,0.9492183336294191,0.011355167827212425,0.028585000000000006,0.9801566579634466,0.00216661721385065,0.9892030848329046,0.00186767370333612,0.658868092691622,0.09488694184546763,0.538393396500034,0.5918839272464212,,
d1q_q0.9_g2,D1q,0.9608811511813821,0.008590971003770046,0.022020000000000005,0.9190600522193213,0.005469670666160873,0.974293059125964,0.002311680362588629,0.6479500891265598,0.09834550977052015,0.41049045732558415,0.4022137071965915,,
sharecap_c0.03,ShareCap,1.0028690708829278,0.010205642451736744,-0.0016149999999999995,0.9932114882506528,0.0008961629405111944,0.9789203084832905,0.0018977339616728882,0.7366310160427807,0.07706827639476593,0.12370700189295067,0.1237113402061856,1.001409406753753,0.002576460537274058
sharecap_c0.05,ShareCap,0.999475928228815,0.008129050597725656,0.00029500000000000045,0.9984334203655354,0.0013888876283414313,0.9861182519280206,0.001378410045922782,0.8072638146167559,0.07162596083944135,0.21051893304589858,0.2105263157894738,1.0004456212530248,0.0022358377111345393
sharecap_c0.08,ShareCap,0.9924054006040149,0.007510566366706598,0.004275,1.0,0.0,0.9943444730077119,0.0007703935390796492,0.8335561497326204,0.06869858071244465,0.34781388938018015,0.3478260869565216,0.9954764261175507,0.0011014643719353164
knn,kNN sanitize,0.9894563865695506,0.008432985758878396,0.005935,0.4234986945169713,0.061341659483138924,0.7840616966580977,0.027031304995859998,0.6584224598930482,0.09858538810894737,0.6002805442558563,0.5122933333333334,0.9909010358103312,0.0020357292150542847
loss,loss filter,-0.004796589092201264,0.008576051838137925,0.5656000000000001,0.9984334203655355,0.0005497365260245926,1.0,0.0007320446148369739,0.9748217468805704,0.016641275491039106,0.9895076448309721,0.9982666666666666,,
uniform_w0.05,uniform,0.9980547166459407,0.009043053834692246,0.0010950000000000003,0.7107049608355093,0.025409965085650854,0.9604113110539844,0.0034772167554633685,0.7054367201426025,0.07846133381264599,0.05000000000000001,0.05,0.5220504795610112,0.1729259783188885
uniform_w0.1,uniform,0.988807958784864,0.007240726699272061,0.0063,0.9122715404699739,0.009141971447965632,0.9763496143958869,0.0016173582717201452,0.7410873440285204,0.07603568716433451,0.10000000000000002,0.1,0.4332941255719238,0.19755726588152311
uniform_w0.25,uniform,0.4889589625155446,0.20033646826922263,0.28766499999999995,0.9765013054830287,0.0027582192032985725,0.9897172236503855,0.002256567566779681,0.8106060606060607,0.0718756599466569,0.25,0.25,,
uniform_w0.5,uniform,0.14538106235565817,0.09586659263769282,0.48106499999999996,0.9900783289817233,0.00166098005616006,0.9969151670951155,0.0007964465553322592,0.8890374331550802,0.04567144142106765,0.5,0.5,,
