model,threshold_mode,jitter,poison_ratio,fidelity_median,n_seeds,delta_fpr,delta_fpr_sd,delta_tpr,delta_tpr_sd,sigma_control_fpr,sigma_control_tpr,exceeds_noise
rf,recalibrated,0.02,0.05,0.02216913023794056,5,-5.00000000000049e-06,0.0004941533162895901,-0.004766150603874486,0.026058931310923582,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.02,0.1,0.02205628086915842,5,0.00031499999999999963,0.00033800887562311145,0.004749939207262766,0.02630193561708434,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.02,0.2,0.02234033452151992,5,0.00022499999999999986,0.0005326818938165629,-0.013277133825079024,0.06287768912517197,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.03,0.005,0.03145792863549116,5,0.0002599999999999998,0.0005949264660443337,0.030850287752289908,0.03506061686384161,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.03,0.01,0.03098623543654786,5,-3.0000000000000512e-05,0.00038866759576790065,0.03253627299991897,0.024729660601370704,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.03,0.02,0.030852270334861383,5,3.499999999999996e-05,0.0006897916352058785,-0.016697738510172644,0.04340266530593962,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.03,0.05,0.030930574590417405,5,4.4999999999999556e-05,0.0007096213779192404,-0.021026181405528078,0.032561842145894554,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.03,0.1,0.030937541539799142,5,6.999999999999993e-05,0.0006401659940984053,-0.00048634189835450314,0.05300788943875713,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.03,0.2,0.03114576622709776,5,0.0002299999999999993,0.0005745650528878346,-0.011785685336791741,0.05806491394712637,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.03,0.5,0.03109014898322236,5,0.00031999999999999943,0.00042624816715148455,0.011039961092648154,0.021286943465604447,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.05,0.02,0.048231209145673706,5,0.00012499999999999976,0.00044300112866673384,-0.02457647726351624,0.04729455817790765,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.05,0.05,0.0483015871788877,5,-1.5000000000000429e-05,0.0007092249290598865,-0.005220069709005437,0.04014557701789017,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.05,0.1,0.04831208956310174,5,0.00023,0.0005922415047934418,-0.0025776120612790443,0.02685723782897579,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.05,0.2,0.04852012134094384,5,0.00020499999999999997,0.00032567238138964176,-0.01319607684201991,0.05663869089043694,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.07,0.02,0.06536318929610627,5,0.0001499999999999998,0.0006955213871621781,-0.03809678203777256,0.03983664162780061,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.07,0.05,0.06531899891207274,5,0.0002799999999999993,0.0005339709729938511,-0.015060387452379009,0.014331782340954145,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.07,0.1,0.06526996504470058,5,-8.500000000000036e-05,0.0009340101712508277,-0.013358190808138114,0.04000547670395751,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.07,0.2,0.06549662205094063,5,0.0002999999999999999,0.0005175060386121113,-0.007165437302423583,0.060930771933642484,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.1,0.005,0.09100813636040209,5,0.0003099999999999995,0.00041102007250254846,0.03106103590824354,0.03741793501749649,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.1,0.01,0.09032301474981072,5,6.999999999999957e-05,0.0005898622720601824,0.02493312798897627,0.03183479343216047,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.1,0.02,0.0906294825090054,5,0.00026499999999999994,0.000543886477125512,0.003906946583448168,0.031399481180364466,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.1,0.05,0.09049369262974466,5,-0.00022000000000000006,0.00026422055181230685,-0.034757234335737984,0.05522239800316777,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.1,0.1,0.09033014239475093,5,0.0001999999999999995,0.0006232475431158954,-0.002075058766312732,0.055928895403175014,0.0006087658978354052,0.030293837226850393,False
rf,recalibrated,0.1,0.2,0.09055539550988478,5,0.00018999999999999955,0.0005789537978111898,-0.050887573964497015,0.09769927994268414,0.0006087658978354052,0.030293837226850393,False
