model,threshold_mode,scenario,target_poison_ratio,jitter,fpr_mean,fpr_sd,tpr_mean,tpr_sd,realized_nn
xgboost,fixed,a1,0.2,0.03,0.0475,0.01864146922857745,0.9373753748885466,0.014233823175584618,0.03114576622709776
xgboost,fixed,a1,0.2,0.05,0.04687500000000001,0.0187262766587488,0.9386074410310448,0.017751442277581127,0.04852012134094384
xgboost,fixed,a1,0.2,0.07,0.044,0.017898472351013647,0.9370025127664748,0.00854957150322679,0.06549662205094063
xgboost,fixed,a1,0.2,0.1,0.04807,0.02024553500157504,0.9340196157899003,0.01441185408664547,0.09055539550988478
xgboost,fixed,a1,0.2,0.2,0.051675000000000006,0.014772112662039916,0.8769392883196888,0.03141140597186569,0.17261844716975422
xgboost,fixed,a1,0.2,0.3,0.0539,0.013760768510515683,0.9066385669125395,0.01735815941001653,0.25405201657983284
xgboost,fixed,a1,0.2,0.7,0.064355,0.01166624939729989,0.9301775147928995,0.018844798514587084,0.5591151059912843
xgboost,fixed,a1,0.2,1.5,0.06743,0.017814788449487688,0.9312150441760558,0.016995370554226907,1.0542563956797593
xgboost,fixed,control,0.0,-1.0,0.043705,0.009918470774267574,0.8687525330307206,0.008202670325644168,
xgboost,recalibrated,a1,0.05,0.0,0.00996,6.274950199005604e-05,0.8124503525978763,0.014634141849131683,0.01043168219051888
xgboost,recalibrated,a1,0.05,0.01,0.00925,0.0007832225098910271,0.8377563427089244,0.008890550721813058,0.013948018330317979
xgboost,recalibrated,a1,0.05,0.02,0.009420000000000001,0.0010086191055101031,0.8313042068574207,0.014283910220058227,0.02216913023794056
xgboost,recalibrated,a1,0.05,0.03,0.009145,0.0010428926119212857,0.8243819405041745,0.010917987476386257,0.030930574590417398
xgboost,recalibrated,a1,0.05,0.05,0.008830000000000001,0.0013425023277447235,0.8307205965793953,0.014627428265039495,0.0483015871788877
xgboost,recalibrated,a1,0.05,0.07,0.009695,0.0003198632520312394,0.8386966037124098,0.01886739490418268,0.06531899891207274
xgboost,recalibrated,a1,0.05,0.1,0.00887,0.0015104221264269132,0.8230039717921699,0.020703245139812924,0.09049369262974466
xgboost,recalibrated,a1,0.05,0.2,0.00886,0.0014190225509131274,0.8090783821026181,0.03037834703933703,0.17261343271534896
xgboost,recalibrated,a1,0.05,0.3,0.008655,0.0016426350781594795,0.7908243495177109,0.021731027954234514,0.25425239581318304
xgboost,recalibrated,a1,0.05,0.7,0.00935,0.0008963467520998782,0.8344330064035017,0.023675064445333877,0.5599149552431368
xgboost,recalibrated,a1,0.05,1.5,0.008865000000000001,0.0004598233356409821,0.8115263029910027,0.02757971442083801,1.0591578042930059
xgboost,recalibrated,a1,0.2,0.0,0.00976,0.000522792980059985,0.7511712734052038,0.0568110405085343,0.0110714056576436
xgboost,recalibrated,a1,0.2,0.01,0.00987,7.373940601876273e-05,0.8842668395882305,0.018251721666731554,0.01438114403506926
xgboost,recalibrated,a1,0.2,0.02,0.00927,0.0010100123761617973,0.8894220637107887,0.020473540234389995,0.02234033452151992
xgboost,recalibrated,a1,0.2,0.03,0.009465,0.00036979724174201177,0.8880116722055605,0.012361203204534188,0.03114576622709776
xgboost,recalibrated,a1,0.2,0.05,0.009944999999999999,6.471089552772333e-05,0.8687201102374971,0.03598403321449626,0.04852012134094384
xgboost,recalibrated,a1,0.2,0.07,0.009515,0.0006160864387405394,0.8703898840885141,0.03435683200119517,0.06549662205094063
xgboost,recalibrated,a1,0.2,0.1,0.009845,0.0001303840481040527,0.8531571694901515,0.015852661308496215,0.09055539550988478
xgboost,recalibrated,a1,0.2,0.2,0.009179999999999999,0.0009792216296630706,0.8103752938315637,0.016456024924969916,0.17261844716975422
xgboost,recalibrated,a1,0.2,0.3,0.009665,0.0003955218072369728,0.8520061603307125,0.01866506666026741,0.25405201657983284
xgboost,recalibrated,a1,0.2,0.7,0.00922,0.0011774442661969188,0.8278673907757153,0.012850356992132364,0.5591151059912843
xgboost,recalibrated,a1,0.2,1.5,0.009095,0.0009267550917043839,0.8040204263597308,0.014212550917977964,1.0542563956797593
xgboost,recalibrated,control,0.0,-1.0,0.008045,0.0015733523127386313,0.8110723838858718,0.02067671330588587,
