calibration,model,threshold_mode,metric_delta,poison_ratio,contrast,n_seeds,mean,sd,t_paired,sigma_control,two_sigma
new,rf,fixed,fpr,0.2,"a1truth (same rows, true label)",5,-0.005055,0.004293286910980909,-2.632790181655693,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.2,"s0j (attack->malicious, jittered)",5,0.003689999999999999,0.004103832050657044,2.010581996320532,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.2,s0 (attack->malicious),5,0.001695,0.007217695269267053,0.5251171018539034,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.2,a1 - s0j  (label conflict beyond prior shift),5,0.00737,0.003937932515927615,4.184891672855771,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.2,"a1 - a1truth  (effect of the label flip, same rows)",5,0.016115,0.0033153808227713464,10.868807350851442,0.004455567172261082,0.008911134344522164
new,rf,recalibrated,tpr,0.05,"a1 (benign->malicious, jittered)",5,-0.08530436897138685,0.025496744274171153,-7.481204884302649,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.05,"a1truth (same rows, true label)",5,0.015173867228661764,0.04947871221354414,0.6857453859835143,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.05,"s0j (attack->malicious, jittered)",5,-0.002642457647726326,0.029683328383620717,-0.19905836877917948,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.05,s0 (attack->malicious),5,0.05829618221609793,0.03249795737562258,4.011151370445542,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,-0.08266191132366052,0.01781967304861601,-10.372673638034016,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,-0.10047823620004862,0.05313016588497127,-4.228787218338842,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.2,"a1 (benign->malicious, jittered)",5,-0.1089892194212531,0.03841158636757059,-6.344630005864971,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.2,"a1truth (same rows, true label)",5,0.014152549242117219,0.028909549992076726,1.094657722758068,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.2,"s0j (attack->malicious, jittered)",5,-0.0021236929561481376,0.028619279738184705,-0.165927369826461,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.2,s0 (attack->malicious),5,0.0786576963605415,0.03706594120232546,4.745163627591195,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.2,a1 - s0j  (label conflict beyond prior shift),5,-0.10686552646510497,0.02691754616514428,-8.877428134095918,0.030293837226850393,0.060587674453700786
new,rf,recalibrated,tpr,0.2,"a1 - a1truth  (effect of the label flip, same rows)",5,-0.12314176866337032,0.016104800717672146,-17.097595333713024,0.030293837226850393,0.060587674453700786
new,xgboost,fixed,fpr,0.05,"a1 (benign->malicious, jittered)",5,-0.00279,0.004451846527004272,-1.401357755569912,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.05,"a1truth (same rows, true label)",5,-0.0038249999999999994,0.004069436386036769,-2.101755428167889,0.0061113621389897645,0.012222724277979529
