scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10092118730808597,0.0,10,recalibrated,0.3699904680252075,30000,0,0.0,,,0.0,0.0,1.0422797999999602,0.006025,0.8288076517792008,0.9769730556086375,0.8968118230057448,0.9808888374402205,39759,241,2112,10225,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8042425639843209,4337,0.99575,4000,0.6885,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10133060388945747,0.0,11,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0870096999997259,0.0695,0.8925994974467051,0.7984338747099768,0.8428948677714417,0.9829079506768258,37220,2780,1325,11012,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.881715471524095,4337,0.99725,4000,0.79975,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10133060388945747,0.0,11,recalibrated,0.5272194147109985,30000,0,0.0,,,0.0,0.0,1.0870096999997259,0.00855,0.7915214395720191,0.9661620658949243,0.8701657458563535,0.9829079506768258,39658,342,2572,9765,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7991699331335024,4337,0.99375,4000,0.581,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09477993858751277,0.0,12,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0045147999999244,0.04745,0.901515765583205,0.8542242703533026,0.8772331111724573,0.9836722339304531,38102,1898,1215,11122,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8833294904311736,4337,0.99725,4000,0.8255,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09477993858751277,0.0,12,recalibrated,0.2975021004676819,30000,0,0.0,,,0.0,0.0,1.0045147999999244,0.009625,0.8374807489665235,0.9640757674722403,0.8963303548191203,0.9836722339304531,39615,385,2005,10332,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8187687341480286,4337,0.99525,4000,0.7,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09907881269191399,0.0,13,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,0.9278976999994484,0.05515,0.8877360784631596,0.8323453412372701,0.8591488527162189,0.9806889792899408,37794,2206,1385,10952,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.884482361079087,4337,0.9975,4000,0.7815,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09907881269191399,0.0,13,recalibrated,0.31940096616744995,30000,0,0.0,,,0.0,0.0,0.9278976999994484,0.0094,0.7984112831320418,0.9632309798552708,0.8731108451890264,0.9806889792899408,39624,376,2487,9850,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8109292137422182,4337,0.9955,4000,0.58775,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10092118730808597,0.0,14,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,0.965388300000086,0.060375,0.8774418416146551,0.8175981873111783,0.8464636196582868,0.9823132133014509,37585,2415,1512,10825,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8789485819691031,4337,0.99675,4000,0.7565,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10092118730808597,0.0,14,recalibrated,0.4544508457183838,30000,0,0.0,,,0.0,0.0,0.965388300000086,0.00995,0.8249979735754235,0.9623676248108926,0.8884039628158688,0.9823132133014509,39602,398,2159,10178,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7834908923218815,4337,0.995,4000,0.7,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09805527123848512,0.0,15,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0259367999997266,0.056025,0.883602172327146,0.829478009435398,0.8556850739824955,0.9820673066790954,37759,2241,1436,10901,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.99675,4000,0.7895,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09805527123848512,0.0,15,recalibrated,0.17239437997341156,30000,0,0.0,,,0.0,0.0,1.0259367999997266,0.0098,0.8446137634757235,0.9637439881613022,0.9002548706207611,0.9820673066790954,39608,392,1917,10420,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8277611252017524,4337,0.99625,4000,0.71125,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09600818833162739,0.0,16,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0451084999995146,0.0481,0.8841695712085597,0.8500623441396509,0.8667805633914737,0.9842358596093054,38076,1924,1429,10908,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8768734148028591,4337,0.997,4000,0.77925,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09600818833162739,0.0,16,recalibrated,0.2620048522949219,30000,0,0.0,,,0.0,0.0,1.0451084999995146,0.005925,0.8278349679824917,0.9773205741626795,0.8963882915697547,0.9842358596093054,39763,237,2124,10213,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7894858196910307,4337,0.9955,4000,0.70175,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,17,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.1369002999999793,0.063025,0.8843316851746778,0.8122999032089941,0.8467867122011797,0.9831408233363054,37479,2521,1427,10910,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.87087848743371,4337,0.997,4000,0.78625,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,17,recalibrated,0.42558443546295166,30000,0,0.0,,,0.0,0.0,1.1369002999999793,0.0075,0.7995460808948691,0.9704840613931524,0.8767610328429847,0.9831408233363054,39700,300,2473,9864,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7851049112289601,4337,0.99575,4000,0.619,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10235414534288634,0.0,18,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.043566500000452,0.059075,0.8952743778876551,0.8237619331742243,0.8580306855700135,0.982730272756748,37637,2363,1292,11045,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8775651371916071,4337,0.99725,4000,0.8125,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10235414534288634,0.0,18,recalibrated,0.3561079204082489,30000,0,0.0,,,0.0,0.0,1.043566500000452,0.0095,0.8310772473048553,0.9642622025768833,0.8927296473661298,0.982730272756748,39620,380,2084,10253,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.801475674429329,4337,0.995,4000,0.69925,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.0998976458546571,0.0,19,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.1077657000005274,0.0414,0.8788198103266597,0.8674987998079693,0.8731226092208576,0.9848441588311583,38344,1656,1495,10842,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8757205441549458,4337,0.99675,4000,0.76425,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.0998976458546571,0.0,19,recalibrated,0.24557755887508392,30000,0,0.0,,,0.0,0.0,1.1077657000005274,0.009675,0.8373996919834644,0.9638925172606829,0.8962047278247668,0.9848441588311583,39613,387,2006,10331,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8187687341480286,4337,0.99575,4000,0.69925,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10214943705220059,0.0,20,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0749000000005253,0.050025,0.887168679581746,0.8454348833616561,0.8657991535814579,0.9848510324633217,37999,2001,1392,10945,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8837906386903389,4337,0.99675,4000,0.78125,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10214943705220059,0.0,20,recalibrated,0.3787180185317993,30000,0,0.0,,,0.0,0.0,1.0749000000005253,0.01,0.8300235065250872,0.9624060150375939,0.891326108717413,0.9848510324633217,39600,400,2097,10240,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7991699331335024,4337,0.9955,4000,0.698,4000,,1.0,cicids
