run_dir,calibration_tau,model,threshold_mode,jitter,realized_nn_median,target_poison_ratio,n_seeds,damage,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,sigma_control,clears_2sigma
cicids,0.0,rf,recalibrated,0.0,0.010431682190518916,0.05,5,0.033541379589851636,0.0001349999999999997,0.0006859300255857009,-0.033541379589851636,0.05049874114414614,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.01,0.01394801833031802,0.05,5,0.004263597308908152,0.0003049999999999997,0.0005269013190342196,-0.004263597308908152,0.03724304199341185,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.02,0.022169130237940593,0.05,5,0.004766150603874486,-5.00000000000049e-06,0.0004941533162895901,-0.004766150603874486,0.02605893131092358,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.03,0.03093057459041746,0.05,5,0.021026181405528078,4.4999999999999556e-05,0.0007096213779192403,-0.021026181405528078,0.032561842145894554,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.05,0.048301587178887766,0.05,5,0.005220069709005437,-1.5000000000000429e-05,0.0007092249290598865,-0.005220069709005437,0.04014557701789017,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.07,0.06531899891207278,0.05,5,0.015060387452379009,0.0002799999999999993,0.0005339709729938511,-0.015060387452379009,0.014331782340954143,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.1,0.09049369262974472,0.05,5,0.034757234335737984,-0.00022000000000000006,0.00026422055181230685,-0.034757234335737984,0.05522239800316777,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.2,0.172613432715349,0.05,5,0.055799627137877915,4.99999999999997e-05,0.0003473110997362458,-0.055799627137877915,0.04250349491138591,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.3,0.2542523958131831,0.05,5,0.06301369863013698,-0.0001750000000000005,0.0009222933372848359,-0.06301369863013698,0.033511235098816095,0.030293837226850386,True
cicids,0.0,rf,recalibrated,0.7,0.5599149552431368,0.05,5,0.08530436897138685,0.00022999999999999965,0.0005191338940966965,-0.08530436897138685,0.025496744274171153,0.030293837226850386,True
cicids,0.0,rf,recalibrated,1.5,1.0591578042930059,0.05,5,0.0636621544946097,0.0002599999999999998,0.00045846210312303943,-0.0636621544946097,0.02405116540111789,0.030293837226850386,True
