run_dir,calibration_tau,scenario,defense,model,threshold_mode,jitter,target_poison_ratio,cost_padding,label_policy,retention,budget_mode,d1_estar,d1_gamma,d1_components,n_seeds,fpr_mean,fpr_std,tpr_mean,tpr_std,precision_mean,precision_std,f1_mean,f1_std,auroc_mean,auroc_std,tpr_seen_both_mean,tpr_seen_both_std,tpr_seed_only_mean,tpr_seed_only_std,tpr_honeypot_only_mean,tpr_honeypot_only_std,poison_ratio_mean,poison_ratio_std,hp_effective_ratio_mean,hp_effective_ratio_std,hp_mean_weight_mean,hp_mean_weight_std,cum_flows_mean,cum_flows_std,cum_packets_mean,cum_packets_std,cum_bytes_mean,cum_bytes_std,cum_duration_s_mean,cum_duration_s_std,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,fidelity_median_mean,fidelity_median_std,sigma_control_fpr,sigma_control_tpr
cicids,0.0,a1,none,rf,fixed,0.01,0.05,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.075625,0.009380515044495157,0.8944638080570642,0.00795164459317514,0.785303431430832,0.021094250914764388,0.8362017468657745,0.012293918256106802,0.9739360154413553,0.003354279680466843,0.8979940050726307,0.004925335426032155,0.99685,0.00028504385627476286,0.78825,0.024032530037430524,0.050001583330694446,0.0,,,,,1579.0,0.0,29510.271582257228,4069.7127796422674,16500166.78967851,5349382.086064038,28298.99428529139,1204.818788898185,0.033960000000000004,0.015618794767843003,0.01846478074086082,0.008463645533217426,0.01394801833031802,0.0003100767128816751,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.01,0.1,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.069995,0.008074988390084532,0.8986301369863015,0.012143353290190811,0.7987532890185451,0.018688980746241566,0.8456104745104357,0.010616140234854122,0.9738886108859528,0.006762342723949581,0.9187456767350703,0.0245940574267516,0.9968,0.00020916500663349918,0.7786500000000001,0.017949233966941345,0.0999909999099991,0.0,,,,,3333.0,0.0,61781.70453858866,4596.501385858683,33326201.774431296,6032465.265370412,58204.77196170384,1403.5832410493933,0.02833,0.01672126639940887,0.02263110967009807,0.012950410030625734,0.013918432479111943,0.0001366717551793116,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.01,0.2,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.084165,0.00713811512235548,0.9256383237415904,0.008118980768427963,0.7725272445814536,0.015081467270343592,0.8421169443429912,0.010313703117442303,0.9792674866255979,0.004746927780239278,0.9418030896933363,0.017142996584992968,0.9968,0.00032596012026007244,0.8369500000000001,0.033057903744793005,0.2,0.0,,,,,7500.0,0.0,149331.90360752348,12709.438015226477,84910438.75240807,15344473.783349944,132013.7673440763,582.1496107188284,0.042499999999999996,0.0054961634346150975,0.049639296425387044,0.008539421449835988,0.014381144035069316,0.0001896810596740979,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.01,0.5,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.097325,0.011028301659820517,0.9175974710221286,0.0071552245467863896,0.7446323626259927,0.020133178027092698,0.8219426765938549,0.010871301747103912,0.9795282349841938,0.0035808364167371617,0.951210514180309,0.005902427507073278,0.9968999999999999,0.00022360679774993986,0.80185,0.015853430228187176,0.5,0.0,,,,,30000.0,0.0,580048.9528002916,11891.57258732133,321709119.14404047,16598278.427047273,534996.9961805808,6634.270985165277,0.05566,0.009701475403256972,0.04159844370592527,0.007193870036840903,0.014164875736472057,0.0009121675486512246,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.02,0.02,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.06869,0.017151335589393617,0.8906217070600633,0.004013180264618792,0.8016279889258874,0.040640004041956355,0.8433227343682959,0.02159556196904452,0.9711401205722623,0.0063110771224990205,0.8993774498501267,0.0017146407602101228,0.9967500000000001,0.00017677669529661742,0.775,0.0108943792847505,0.0199921599372795,0.0,,,,,612.0,0.0,12033.737767085262,2781.0559625107135,7028315.551019445,3481528.475681359,10850.715220203178,669.4417489648413,0.027025,0.01505175446584218,0.014622679743859935,0.003750845656716188,0.022049220694563384,0.0005610617872495871,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.02,0.05,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.074935,0.011664283089843115,0.8984356002269596,0.011124314219638687,0.7877565656793539,0.027708583809549416,0.8393106194724733,0.01863746231154667,0.9759691217475887,0.003234207583119471,0.908047037122435,0.02361241203795665,0.9968,0.0003259601202601008,0.78965,0.02083461662714241,0.050001583330694446,0.0,,,,,1579.0,0.0,29515.298114841316,4064.5734928600846,16552245.065613504,5450708.327413615,28393.122755347616,1162.8505991263335,0.03327,0.013557221322970285,0.02243657291075627,0.011668602471810601,0.022169130237940593,0.0002221009707143897,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.02,0.1,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.06834,0.006552280137478862,0.8953392234741022,0.009822855635478158,0.8018927903586212,0.014645393568448285,0.8459321291225633,0.006824089176655224,0.9733235053092324,0.009828534482177293,0.9139497348397511,0.025280431892935582,0.9968999999999999,0.00013693063937628995,0.7736,0.007032513775315331,0.0999909999099991,0.0,,,,,3333.0,0.0,61779.01896206938,4559.834730871519,33318287.8231197,5909330.998766077,58409.831090978485,1314.7598691877843,0.026674999999999997,0.010462776280701032,0.019340196157898993,0.01064111800934834,0.022056280869158444,7.378220164854701e-05,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.02,0.2,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.086885,0.009335091724241384,0.9146307854421659,0.010855494229606978,0.764896221173753,0.019449428317154235,0.8329737234693454,0.013046867616980973,0.9803037006565616,0.005427185857781059,0.9454461609407424,0.004133005094661627,0.9968999999999999,0.0002236067977499626,0.7989499999999999,0.03549885561535754,0.2,0.0,,,,,7500.0,0.0,149371.250458094,12732.486077443713,85041725.22535633,15710001.245958999,132566.08245103466,655.5330772914664,0.045219999999999996,0.012512149095978677,0.038631758125962555,0.011792133567945156,0.02234033452151998,0.00011141610457524909,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.03,0.005,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.064985,0.012703390295507733,0.886633703493556,0.004838226068096827,0.8088330018495261,0.030873157606569467,0.8457501161600482,0.018632131168776704,0.9665917019940018,0.009011142379387174,0.8914918146183999,0.00654724975011701,0.9967500000000001,0.00024999999999997247,0.77125,0.014148763196831029,0.005008125766972903,0.0,,,,,151.0,0.0,2565.830159865968,363.15663049556264,1143773.6635689307,308700.8424937188,2668.328988626062,571.6831942376314,0.02332,0.016866974017291897,0.010634676177352675,0.005425492108439107,0.031457928635491225,0.0012982695179744924,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.03,0.01,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.054365,0.013185735663966571,0.8875253303072059,0.006732269206558291,0.8352802480054644,0.033684638864707184,0.8603843075662606,0.020120700328960215,0.9702088528410473,0.009176462226604235,0.898870186765045,0.021990898063297296,0.9967,0.00011180339887498338,0.76605,0.013942291777179275,0.00999900999901,0.0,,,,,303.0,0.0,6596.537403527589,3283.4675696516033,4459582.802404496,4213872.557463225,5372.141452362924,526.5446936571681,0.0127,0.01888345009525537,0.011526302991002657,0.007892011911717584,0.030986235436547927,0.0007461059245050142,0.014823297644627679,0.004497682586038139
