scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,5,accumulate,fixed_ratio,0.005,5,fixed,0.0815638080239296,30038,38,0.0012650642519475331,0.031825,0.8653643511388506,0.8934638881914805,0.8791896565922754,0.9841970708032747,38727,1273,1661,10676,38,875.3423582999948,622748.0928515799,678.7185968278445,8,122.48908301370243,17990.44951041505,13.383193986500583,True,False,0.8840212128199216,4337,0.99625,4000,0.71425,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,5,recalibrated,0.4986182451248169,30038,38,0.0012650642519475331,0.004575,0.7693118262138283,0.9810833161050238,0.8623869883240198,0.9841970708032747,39817,183,2846,9491,38,875.3423582999948,622748.0928515799,678.7185968278445,8,122.48908301370243,17990.44951041505,13.383193986500583,True,False,0.7821074475443855,4337,0.995,4000,0.52975,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,6,fixed,0.0815638080239296,30045,45,0.0014977533699450823,0.04265,0.8607441031044825,0.8615821501014199,0.8611629227151083,0.983419794115263,38294,1706,1718,10619,45,915.0335742041119,629060.9403932377,680.342710137497,7,39.691215904117186,6312.847541657885,1.6241133096524267,True,False,0.8711090615632926,4337,0.99675,4000,0.7135,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,6,recalibrated,0.5477526783943176,30045,45,0.0014977533699450823,0.0094,0.7780659803842102,0.9623057644110276,0.8604338472570815,0.983419794115263,39624,376,2738,9599,45,915.0335742041119,629060.9403932377,680.342710137497,7,39.691215904117186,6312.847541657885,1.6241133096524267,True,False,0.8012451002997464,4337,0.99475,4000,0.53625,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,7,fixed,0.0815638080239296,30053,53,0.0017635510597943634,0.023225,0.8663370349355597,0.9200309890677455,0.8923770560240462,0.9834784996352436,39071,929,1649,10688,53,979.5910959348762,640897.0848218354,697.5936021221313,8,64.55752173076426,11836.144428597654,17.250891984634357,True,False,0.855891169010837,4337,0.99675,4000,0.74725,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,7,recalibrated,0.2809101343154907,30053,53,0.0017635510597943634,0.009275,0.7936289211315555,0.9634914386931707,0.8703497933241479,0.9834784996352436,39629,371,2546,9791,53,979.5910959348762,640897.0848218354,697.5936021221313,8,64.55752173076426,11836.144428597654,17.250891984634357,True,False,0.8005533779109983,4337,0.99525,4000,0.5845,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,8,fixed,0.0815638080239296,30060,60,0.001996007984031936,0.0263,0.8697414282240415,0.9107112544559498,0.8897549649653801,0.9836102932236362,38948,1052,1607,10730,60,1079.6424948846718,680878.0137547972,879.0223642509534,7,100.05139894979554,39980.928932961826,181.42876212882203,True,False,0.8568134655291676,4337,0.99675,4000,0.75675,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,8,recalibrated,0.3166414201259613,30060,60,0.001996007984031936,0.007975,0.8502066953068007,0.9704848260547743,0.9063728667098727,0.9836102932236362,39681,319,1848,10489,60,1079.6424948846718,680878.0137547972,879.0223642509534,7,100.05139894979554,39980.928932961826,181.42876212882203,True,False,0.8162324187226193,4337,0.99625,4000,0.741,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,9,fixed,0.0815638080239296,30068,68,0.0022615405081814555,0.021875,0.8692550863256869,0.9245624622812312,0.8960561497326204,0.9852489452460079,39125,875,1613,10724,68,1152.7888481419775,694724.509258595,981.0721543010045,8,73.14635325730569,13846.495503797725,102.04979005005109,True,False,0.8697256167857966,4337,0.99675,4000,0.74125,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,9,recalibrated,0.17120616137981415,30068,68,0.0022615405081814555,0.006125,0.8533679176461052,0.9772579597141,0.9111207269580267,0.9852489452460079,39755,245,1809,10528,68,1152.7888481419775,694724.509258595,981.0721543010045,8,73.14635325730569,13846.495503797725,102.04979005005109,True,False,0.8556605948812543,4337,0.9965,4000,0.70775,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
