scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,rf,3,0.0,16,fixed,0.12533333333333332,30000,0,0.0,0.0243,0.8771176136824187,0.9175782243703892,0.8968918358889348,0.9784862689470698,39028,972,1516,10821,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8586580585658289,4337,0.997,4000,0.77725,4000,,cicids
control,rf,3,0.0,16,recalibrated,0.2793333333333334,30000,0,0.0,0.009675,0.8399935154413553,0.964,0.8977346558669381,0.9784862689470698,39613,387,1974,10363,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8367535162554761,4337,0.99575,4000,0.68775,4000,,cicids
control,rf,3,0.0,17,fixed,0.12533333333333332,30000,0,0.0,0.0527,0.8709572829699278,0.8359915972924609,0.853116315998412,0.968317351260436,37892,2108,1592,10745,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8600415033433249,4337,0.9965,4000,0.75725,4000,,cicids
control,rf,3,0.0,17,recalibrated,0.3366666666666667,30000,0,0.0,0.00965,0.8225662640836509,0.9633567495728118,0.887412006471077,0.968317351260436,39614,386,2189,10148,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8127738067788794,4337,0.99525,4000,0.6605,4000,,cicids
control,rf,3,0.0,18,fixed,0.12533333333333332,30000,0,0.0,0.02315,0.8724163086649915,0.9207802207203354,0.8959460584366936,0.9650771591553863,39074,926,1574,10763,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8600415033433249,4337,0.99625,4000,0.762,4000,,cicids
control,rf,3,0.0,18,recalibrated,0.2053846153846154,30000,0,0.0,0.00975,0.8614736159520142,0.9646033762933381,0.9101263112823806,0.9650771591553863,39610,390,1709,10628,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8344477749596495,4337,0.99625,4000,0.756,4000,,cicids
control,rf,3,0.0,19,fixed,0.12533333333333332,30000,0,0.0,0.029325,0.8712004539191052,0.9016022145793138,0.8861406546294006,0.9740203625273567,38827,1173,1589,10748,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8639612635462302,4337,0.9965,4000,0.75375,4000,,cicids
control,rf,3,0.0,19,recalibrated,0.25733333333333336,30000,0,0.0,0.009925,0.846883359001378,0.9633932687874597,0.9013890087136571,0.9740203625273567,39603,397,1889,10448,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8208439013142725,4337,0.996,4000,0.726,4000,,cicids
control,rf,3,0.0,20,fixed,0.12533333333333332,30000,0,0.0,0.033425,0.8734700494447597,0.8896227193923884,0.8814723926380368,0.9642714415984437,38663,1337,1561,10776,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8473599262162785,4337,0.99625,4000,0.779,4000,,cicids
control,rf,3,0.0,20,recalibrated,0.35333333333333333,30000,0,0.0,0.0099,0.8194050417443463,0.962303664921466,0.8851238945801595,0.9642714415984437,39604,396,2228,10109,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8127738067788794,4337,0.995,4000,0.651,4000,,cicids
