scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,xgboost,3,0.0,13,fixed,0.07161957025527954,30000,0,0.0,0.0464,0.8749290751398233,0.8532806324110672,0.8639692640172891,0.9823428244305747,38144,1856,1543,10794,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.869495042656214,4337,0.99675,4000,0.759,4000,,cicids
control,xgboost,3,0.0,13,recalibrated,0.2909138798713684,30000,0,0.0,0.00995,0.80213990435276,0.9613367009908684,0.8745526048340772,0.9823428244305747,39602,398,2441,9896,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8100069172238875,4337,0.996,4000,0.59975,4000,,cicids
control,xgboost,3,0.0,14,fixed,0.07161957025527954,30000,0,0.0,0.042375,0.8705519980546325,0.8636911942098915,0.8671080251897304,0.9825877857258652,38305,1695,1597,10740,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8616555222504035,4337,0.99675,4000,0.754,4000,,cicids
control,xgboost,3,0.0,14,recalibrated,0.42304959893226624,30000,0,0.0,0.009825,0.7971954283861554,0.9615760657019945,0.8717039663195214,0.9825877857258652,39607,393,2502,9835,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99575,4000,0.589,4000,,cicids
control,xgboost,3,0.0,15,fixed,0.07161957025527954,30000,0,0.0,0.0328,0.8736321634108778,0.8914805624483044,0.8824661235518073,0.9830952784307369,38688,1312,1559,10778,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8676504496195527,4337,0.9965,4000,0.75725,4000,,cicids
control,xgboost,3,0.0,15,recalibrated,0.47145339846611023,30000,0,0.0,0.00605,0.8125962551673827,0.9764293367098471,0.8870111484692974,0.9830952784307369,39758,242,2312,10025,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.802859119206825,4337,0.995,4000,0.64075,4000,,cicids
control,xgboost,3,0.0,16,fixed,0.07161957025527954,30000,0,0.0,0.032775,0.8725784226311096,0.8914375621066578,0.8819071806004998,0.9839293162843479,38689,1311,1572,10765,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8648835600645608,4337,0.99675,4000,0.75675,4000,,cicids
control,xgboost,3,0.0,16,recalibrated,0.38421738147735596,30000,0,0.0,0.005425,0.7975196563183918,0.9784208432776452,0.878756754342875,0.9839293162843479,39783,217,2498,9839,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8072400276688956,4337,0.996,4000,0.5885,4000,,cicids
control,xgboost,3,0.0,17,fixed,0.07161957025527954,30000,0,0.0,0.054975,0.8703088271054551,0.8300092764378478,0.8496814782574288,0.9823317115181973,37801,2199,1600,10737,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.99625,4000,0.749,4000,,cicids
control,xgboost,3,0.0,17,recalibrated,0.3875635266304016,30000,0,0.0,0.009975,0.8035989300478236,0.9613109667410065,0.8754083885209712,0.9823317115181973,39601,399,2423,9914,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7862577818768735,4337,0.99575,4000,0.63025,4000,,cicids
control,xgboost,3,0.0,18,fixed,0.07161957025527954,30000,0,0.0,0.0377,0.8642295533760234,0.876088742810189,0.8701187415840373,0.98076546668558,38492,1508,1675,10662,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8766428406732765,4337,0.99675,4000,0.71825,4000,,cicids
control,xgboost,3,0.0,18,recalibrated,0.13391895592212677,30000,0,0.0,0.009975,0.855880684120937,0.9635882460302975,0.9065464691993991,0.98076546668558,39601,399,1778,10559,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8598109292137422,4337,0.9965,4000,0.711,4000,,cicids
control,xgboost,3,0.0,19,fixed,0.07161957025527954,30000,0,0.0,0.042375,0.8620410148334279,0.8625304136253041,0.8622856447885839,0.9835518045310854,38305,1695,1702,10635,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8736453769887018,4337,0.99675,4000,0.71475,4000,,cicids
control,xgboost,3,0.0,19,recalibrated,0.30998358130455017,30000,0,0.0,0.00985,0.8069222663532464,0.9619286887621993,0.877633782949837,0.9835518045310854,39606,394,2382,9955,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7952501729305972,4337,0.99575,4000,0.63075,4000,,cicids
control,xgboost,3,0.0,20,fixed,0.07161957025527954,30000,0,0.0,0.041325,0.8727405365972278,0.8669082125603865,0.8698145978915054,0.9821867380643593,38347,1653,1570,10767,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8646529859349781,4337,0.99675,4000,0.7575,4000,,cicids
control,xgboost,3,0.0,20,recalibrated,0.39622247219085693,30000,0,0.0,0.007325,0.8017346194374645,0.971229379418696,0.8783801785000667,0.9821867380643593,39707,293,2446,9891,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8012451002997464,4337,0.9955,4000,0.6085,4000,,cicids
