scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,2,0.02,5,fixed,0.11599999999999999,30153,153,0.005074121977912646,0.0809,0.8819810326659642,0.7707728270879082,0.8226355182581084,0.9432774013131231,36764,3236,1456,10881,153,35920.930974828116,530310470.52807105,183957.10060660448,31,543.9699075308264,125712702.48338303,31494.47186061945,True,False,0.8741065252478671,4337,0.9965,4000,0.776,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,5,recalibrated,0.5133333333333333,30153,153,0.005074121977912646,0.00995,0.7352678933290103,0.9579681064526349,0.8319728515087591,0.9432774013131231,39602,398,3266,9071,153,35920.930974828116,530310470.52807105,183957.10060660448,31,543.9699075308264,125712702.48338303,31494.47186061945,True,False,0.7685035738990086,4337,0.9945,4000,0.44,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,6,fixed,0.11599999999999999,30184,184,0.0060959448714550755,0.07415,0.8807651779200778,0.7855696934644303,0.8304482402843057,0.955441528532058,37034,2966,1471,10866,184,37571.58386273033,630051815.3854568,188491.92874149745,31,1650.652887902217,99741344.85738572,4534.828134892984,True,False,0.879640304357851,4337,0.9965,4000,0.76625,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,6,recalibrated,0.4448571428571428,30184,184,0.0060959448714550755,0.00835,0.7787144362486829,0.9664017704456292,0.8624652123170841,0.955441528532058,39666,334,2730,9607,184,37571.58386273033,630051815.3854568,188491.92874149745,31,1650.652887902217,99741344.85738572,4534.828134892984,True,False,0.7809545768964722,4337,0.99525,4000,0.55975,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,7,fixed,0.11599999999999999,30214,214,0.007082809293704905,0.060925,0.8806841209370188,0.816794466997444,0.8475369554194782,0.9483339912458458,37563,2437,1472,10865,214,38476.714298493906,647977854.0403836,239776.95890528453,30,905.1304357635734,17926038.654926777,51285.03016378709,True,False,0.8814848973945123,4337,0.99625,4000,0.76425,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,7,recalibrated,0.29286384976525826,30214,214,0.007082809293704905,0.0099,0.8147847937099781,0.9620980091883614,0.8823348694316437,0.9483339912458458,39604,396,2285,10052,214,38476.714298493906,647977854.0403836,239776.95890528453,30,905.1304357635734,17926038.654926777,51285.03016378709,True,False,0.7964030435785104,4337,0.99575,4000,0.65375,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,8,fixed,0.11599999999999999,30245,245,0.008100512481401884,0.07145,0.8858717678528005,0.7927032711975049,0.8367018833256775,0.9637381707465348,37142,2858,1408,10929,245,39401.47893846174,732564217.0393147,268017.0363550405,31,924.7646399678339,84586362.99893123,28240.077449755965,True,False,0.878256859580355,4337,0.99675,4000,0.78325,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,8,recalibrated,0.585952380952381,30245,245,0.008100512481401884,0.009575,0.7303234173624058,0.9592249547535399,0.8292682926829269,0.9637381707465348,39617,383,3327,9010,245,39401.47893846174,732564217.0393147,268017.0363550405,31,924.7646399678339,84586362.99893123,28240.077449755965,True,False,0.7371454922757666,4337,0.99475,4000,0.4585,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,9,fixed,0.11599999999999999,30276,276,0.009116131589377725,0.039275,0.8844127421577369,0.8741387598141324,0.8792457391514565,0.9736194810326659,38429,1571,1426,10911,276,41998.175199205085,780883465.3091553,296651.88711728633,31,2596.6962607433456,48319248.26984058,28634.850762245835,True,False,0.866036430712474,4337,0.9965,4000,0.79225,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,9,recalibrated,0.518,30276,276,0.009116131589377725,0.009975,0.7650968630947557,0.9594429762146778,0.8513190529875987,0.9736194810326659,39601,399,2898,9439,276,41998.175199205085,780883465.3091553,296651.88711728633,31,2596.6962607433456,48319248.26984058,28634.850762245835,True,False,0.7567442932902928,4337,0.9935,4000,0.54575,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
