scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,xgboost,3,accumulate,fixed_ratio,0.01,12,recalibrated,0.26051247119903564,30182,182,0.0060300841561195416,0.009775,0.8510172651373916,0.9640955004591368,0.904034098247729,0.9827627279727649,39609,391,1838,10499,182,2333.0,2065067.0,14684.641912,15,178.0,168318.0,1003.988585,True,False,0.814387825685958,4337,0.99625,4000,0.7455,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,13,fixed,0.07161957025527954,30197,197,0.006523826870218896,0.033375,0.8806841209370188,0.8905737704918033,0.8856013367567347,0.9856422641241793,38665,1335,1472,10865,197,2523.0,2244745.0,16082.825751999999,15,190.0,179678.0,1398.18384,True,False,0.8667281531012221,4337,0.99675,4000,0.77975,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,13,recalibrated,0.2694810628890991,30197,197,0.006523826870218896,0.009575,0.8518278349679825,0.9648365773044436,0.9048172542942012,0.9856422641241793,39617,383,1828,10509,197,2523.0,2244745.0,16082.825751999999,15,190.0,179678.0,1398.18384,True,False,0.8127738067788794,4337,0.996,4000,0.75,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,14,fixed,0.07161957025527954,30212,212,0.007017079306235933,0.04285,0.8838453432763232,0.8641623078142336,0.873893007413344,0.9865490080651698,38286,1714,1433,10904,212,2689.0,2401339.0,17023.270962,15,166.0,156594.0,940.44521,True,False,0.8625778187687342,4337,0.99675,4000,0.794,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,14,recalibrated,0.42241883277893066,30212,212,0.007017079306235933,0.008775,0.8472886439166735,0.9675120325805258,0.9034181755326045,0.9865490080651698,39649,351,1884,10453,212,2689.0,2401339.0,17023.270962,15,166.0,156594.0,940.44521,True,False,0.8047037122434862,4337,0.996,4000,0.74475,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,15,fixed,0.07161957025527954,30227,227,0.007509842194064909,0.037075,0.8852233119883278,0.8804417929700097,0.8828260781698396,0.9869241215449461,38517,1483,1416,10921,227,2861.0,2559054.0,18135.569696,15,172.0,157715.0,1112.298734,True,False,0.8637306894166474,4337,0.9965,4000,0.79725,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,15,recalibrated,0.44385677576065063,30227,227,0.007509842194064909,0.01,0.8502066953068007,0.9632656809624391,0.9032119176784639,0.9869241215449461,39600,400,1848,10489,227,2861.0,2559054.0,18135.569696,15,172.0,157715.0,1112.298734,True,False,0.8118515102605488,4337,0.995,4000,0.747,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,16,fixed,0.07161957025527954,30242,242,0.008002116262151974,0.03765,0.8873307935478641,0.8790652854733799,0.8831787010891489,0.9872184607278917,38494,1506,1390,10947,242,3132.0,2712580.0,19246.946622,15,271.0,153526.0,1111.376926,True,False,0.8697256167857966,4337,0.99675,4000,0.797,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,16,recalibrated,0.3991556763648987,30242,242,0.008002116262151974,0.00605,0.8530436897138689,0.9775218279769645,0.9110505129204001,0.9872184607278917,39758,242,1813,10524,242,3132.0,2712580.0,19246.946622,15,271.0,153526.0,1111.376926,True,False,0.8185381600184459,4337,0.99575,4000,0.74775,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,17,fixed,0.07161957025527954,30258,258,0.008526670632559984,0.05345,0.8794682661911324,0.8353865106251925,0.8568608094768015,0.9860899327227041,37862,2138,1487,10850,258,3407.0,2895506.0,20750.58593,16,275.0,182926.0,1503.639308,True,False,0.8653447083237261,4337,0.9965,4000,0.77775,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,17,recalibrated,0.2797885537147522,30258,258,0.008526670632559984,0.009975,0.8480992137472644,0.9632664334376726,0.9020216388637441,0.9860899327227041,39601,399,1874,10463,258,3407.0,2895506.0,20750.58593,16,275.0,182926.0,1503.639308,True,False,0.803550841595573,4337,0.996,4000,0.7485,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,18,fixed,0.07161957025527954,30273,273,0.009017936775344366,0.05465,0.8846559131069142,0.8331297709923664,0.8581200613279869,0.9860533810894059,37814,2186,1423,10914,273,3591.0,3064994.0,21941.45246,15,184.0,169488.0,1190.86653,True,False,0.8731842287295365,4337,0.9965,4000,0.78525,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,18,recalibrated,0.2768543064594269,30273,273,0.009017936775344366,0.0095,0.8570154818837643,0.9653063087738519,0.9079433233147273,0.9860533810894059,39620,380,1764,10573,273,3591.0,3064994.0,21941.45246,15,184.0,169488.0,1190.86653,True,False,0.8113903620013835,4337,0.996,4000,0.7675,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,19,fixed,0.07161957025527954,30288,288,0.009508716323296355,0.05105,0.883683229310205,0.8422435105067985,0.8624658834697995,0.9866113277133826,37958,2042,1435,10902,288,3781.0,3232337.0,23002.289513,15,190.0,167343.0,1060.837053,True,False,0.8653447083237261,4337,0.9965,4000,0.79075,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,19,recalibrated,0.35754549503326416,30288,288,0.009508716323296355,0.009925,0.8545027154089325,0.9637078343541458,0.9058257432548548,0.9866113277133826,39603,397,1795,10542,288,3781.0,3232337.0,23002.289513,15,190.0,167343.0,1060.837053,True,False,0.8118515102605488,4337,0.99525,4000,0.76,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,20,fixed,0.07161957025527954,30303,303,0.00999900999901,0.036,0.9031369052443868,0.8855507868383404,0.8942573939564188,0.9883072789170787,38560,1440,1195,11142,303,3949.0,3388047.0,23950.246608999998,15,168.0,155710.0,947.957096,True,False,0.8743370993774499,4337,0.997,4000,0.8405,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,20,recalibrated,0.33700770139694214,30303,303,0.00999900999901,0.006075,0.8527194617816325,0.9774226516770417,0.9108225108225109,0.9883072789170787,39757,243,1817,10520,303,3949.0,3388047.0,23950.246608999998,15,168.0,155710.0,947.957096,True,False,0.8180770117592806,4337,0.9955,4000,0.7475,4000,,cicids
