scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,3,0.05,5,fixed,0.07161957025527954,30395,395,0.01299555848001316,0.048225,0.8677150036475643,0.847316764286845,0.8573945777101438,0.9834154636459431,38071,1929,1632,10705,395,13826.135257420843,12840101.323143486,6720.631395428667,79,1202.482258502868,602408.5529165431,1258.700552065751,True,False,0.8685727461378834,4337,0.9965,4000,0.738,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,5,recalibrated,0.41651439666748047,30395,395,0.01299555848001316,0.009825,0.7570722217719057,0.9596219048597555,0.8463978251019484,0.9834154636459431,39607,393,2997,9340,395,13826.135257420843,12840101.323143486,6720.631395428667,79,1202.482258502868,602408.5529165431,1258.700552065751,True,False,0.7728844823610791,4337,0.9955,4000,0.5015,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,6,fixed,0.07161957025527954,30474,474,0.015554242961212838,0.034875,0.843316851746778,0.881769641495042,0.8621146834603911,0.9830406399448812,38605,1395,1933,10404,474,14929.14284081409,13345439.813922811,7612.496300251513,79,1103.007583393247,505338.4907793248,891.8649048228466,True,False,0.8757205441549458,4337,0.9965,4000,0.655,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,6,recalibrated,0.2915860116481781,30474,474,0.015554242961212838,0.008825,0.7666369457728783,0.96401997757619,0.8540726024923244,0.9830406399448812,39647,353,2879,9458,474,14929.14284081409,13345439.813922811,7612.496300251513,79,1103.007583393247,505338.4907793248,891.8649048228466,True,False,0.8206133271846898,4337,0.99575,4000,0.479,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,7,fixed,0.07161957025527954,30553,553,0.01809969561090564,0.039425,0.8535300316122234,0.8697447757495663,0.861561119293078,0.9840580793547864,38423,1577,1807,10530,553,15707.113610298271,13525326.525301682,8756.595219192868,79,777.9707694841809,179886.7113788706,1144.098918941355,True,False,0.8757205441549458,4337,0.9965,4000,0.6865,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,7,recalibrated,0.28057417273521423,30553,553,0.01809969561090564,0.007475,0.772635162519251,0.9695860034584478,0.8599783471670877,0.9840580793547864,39701,299,2805,9532,553,15707.113610298271,13525326.525301682,8756.595219192868,79,777.9707694841809,179886.7113788706,1144.098918941355,True,False,0.8139266774267927,4337,0.996,4000,0.5045,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,8,fixed,0.07161957025527954,30632,632,0.02063201880386524,0.031375,0.8682824025289779,0.8951282694075374,0.881500987491771,0.9842198245116317,38745,1255,1625,10712,632,16727.263182190145,13801293.71679777,10332.784719821597,79,1020.1495718918732,275967.19149608724,1576.1895006287284,True,False,0.8780262854507724,4337,0.997,4000,0.729,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,8,recalibrated,0.2664937674999237,30632,632,0.02063201880386524,0.0079,0.7906298127583692,0.9686196623634558,0.8706207881465613,0.9842198245116317,39684,316,2583,9754,632,16727.263182190145,13801293.71679777,10332.784719821597,79,1020.1495718918732,275967.19149608724,1576.1895006287284,True,False,0.8249942356467604,4337,0.99625,4000,0.54775,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,9,fixed,0.07161957025527954,30711,711,0.023151313861482857,0.042675,0.8498824673745643,0.8599901574803149,0.8549064372783236,0.9813443705925265,38293,1707,1852,10485,711,18189.86533795979,14468131.973430926,11873.634927667264,79,1462.6021557696433,666838.2566331568,1540.8502078456684,True,False,0.8713396356928753,4337,0.997,4000,0.6795,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
a1,xgboost,3,0.05,9,recalibrated,0.28288257122039795,30711,711,0.023151313861482857,0.0075,0.7813082597065737,0.9698158768487776,0.8654156940204704,0.9813443705925265,39700,300,2698,9639,711,18189.86533795979,14468131.973430926,11873.634927667264,79,1462.6021557696433,666838.2566331568,1540.8502078456684,True,False,0.817846437629698,4337,0.99625,4000,0.52675,4000,0.01,cicids,0.01379481329651414,0.007847231938891362,0.09014560028961276,1579
